Jurisdiction,Value,Race/ ethnicity,Year,Measure
Anne Arundel,51.3,All races/ ethnicities (aggregated),2013,Physical activity
Baltimore City,42.6,All races/ ethnicities (aggregated),2013,Physical activity
Baltimore County,43.3,All races/ ethnicities (aggregated),2013,Physical activity
Calvert,41.4,All races/ ethnicities (aggregated),2013,Physical activity
Caroline,39.0,All races/ ethnicities (aggregated),2013,Physical activity
Carroll,52.3,All races/ ethnicities (aggregated),2013,Physical activity
Cecil,39.1,All races/ ethnicities (aggregated),2013,Physical activity
Charles,55.3,All races/ ethnicities (aggregated),2013,Physical activity
Dorchester,32.0,All races/ ethnicities (aggregated),2013,Physical activity
Frederick,52.9,All races/ ethnicities (aggregated),2013,Physical activity
Garrett,45.9,All races/ ethnicities (aggregated),2013,Physical activity
Harford,46.4,All races/ ethnicities (aggregated),2013,Physical activity
Howard,50.7,All races/ ethnicities (aggregated),2013,Physical activity
Kent,41.4,All races/ ethnicities (aggregated),2013,Physical activity
Montgomery,52.8,All races/ ethnicities (aggregated),2013,Physical activity
Prince George's,47.4,All races/ ethnicities (aggregated),2013,Physical activity
Queen Anne's,49.7,All races/ ethnicities (aggregated),2013,Physical activity
Saint Mary's,52.8,All races/ ethnicities (aggregated),2013,Physical activity
Somerset,42.1,All races/ ethnicities (aggregated),2013,Physical activity
Talbot,49.0,All races/ ethnicities (aggregated),2013,Physical activity
Washington,49.1,All races/ ethnicities (aggregated),2013,Physical activity
Wicomico,45.6,All races/ ethnicities (aggregated),2013,Physical activity
Worcester,51.9,All races/ ethnicities (aggregated),2013,Physical activity
State,45.4,Black Non-Hispanic,2013,Physical activity
Allegany,,Black Non-Hispanic,2013,Physical activity
Anne Arundel,41.7,Black Non-Hispanic,2013,Physical activity
Baltimore City,39.1,Black Non-Hispanic,2013,Physical activity
Baltimore County,34.4,Black Non-Hispanic,2013,Physical activity
Calvert,,Black Non-Hispanic,2013,Physical activity
Caroline,,Black Non-Hispanic,2013,Physical activity
Carroll,,Black Non-Hispanic,2013,Physical activity
Cecil,,Black Non-Hispanic,2013,Physical activity
Charles,64.0,Black Non-Hispanic,2013,Physical activity
Dorchester,23.5,Black Non-Hispanic,2013,Physical activity
Frederick,,Black Non-Hispanic,2013,Physical activity
Garrett,,Black Non-Hispanic,2013,Physical activity
Harford,43.9,Black Non-Hispanic,2013,Physical activity
Howard,,Black Non-Hispanic,2013,Physical activity
Kent,,Black Non-Hispanic,2013,Physical activity
Montgomery,51.4,Black Non-Hispanic,2013,Physical activity
Prince George's,49.6,Black Non-Hispanic,2013,Physical activity
Queen Anne's,,Black Non-Hispanic,2013,Physical activity
Saint Mary's,,Black Non-Hispanic,2013,Physical activity
Somerset,,Black Non-Hispanic,2013,Physical activity
Talbot,,Black Non-Hispanic,2013,Physical activity
Washington,,Black Non-Hispanic,2013,Physical activity
Wicomico,36.2,Black Non-Hispanic,2013,Physical activity
Worcester,,Black Non-Hispanic,2013,Physical activity
State,30.0,Hispanic,2013,Physical activity
Allegany,,Hispanic,2013,Physical activity
Anne Arundel,,Hispanic,2013,Physical activity
Baltimore City,,Hispanic,2013,Physical activity
Baltimore County,,Hispanic,2013,Physical activity
Calvert,,Hispanic,2013,Physical activity
Caroline,,Hispanic,2013,Physical activity
Carroll,,Hispanic,2013,Physical activity
Cecil,,Hispanic,2013,Physical activity
Charles,,Hispanic,2013,Physical activity
Dorchester,,Hispanic,2013,Physical activity
Frederick,,Hispanic,2013,Physical activity
Garrett,,Hispanic,2013,Physical activity
Harford,,Hispanic,2013,Physical activity
Howard,,Hispanic,2013,Physical activity
Kent,,Hispanic,2013,Physical activity
Montgomery,25.5,Hispanic,2013,Physical activity
Prince George's,33.6,Hispanic,2013,Physical activity
Queen Anne's,,Hispanic,2013,Physical activity
Saint Mary's,,Hispanic,2013,Physical activity
Somerset,,Hispanic,2013,Physical activity
Talbot,,Hispanic,2013,Physical activity
Washington,,Hispanic,2013,Physical activity
Wicomico,,Hispanic,2013,Physical activity
Worcester,,Hispanic,2013,Physical activity
State,51.5,White Non-Hispanic,2013,Physical activity
Allegany,42.6,White Non-Hispanic,2013,Physical activity
Anne Arundel,52.9,White Non-Hispanic,2013,Physical activity
Baltimore City,53.2,White Non-Hispanic,2013,Physical activity
Baltimore County,47.2,White Non-Hispanic,2013,Physical activity
Calvert,48.0,White Non-Hispanic,2013,Physical activity
Caroline,44.0,White Non-Hispanic,2013,Physical activity
Carroll,55.5,White Non-Hispanic,2013,Physical activity
Cecil,39.7,White Non-Hispanic,2013,Physical activity
Charles,49.5,White Non-Hispanic,2013,Physical activity
Dorchester,35.9,White Non-Hispanic,2013,Physical activity
Frederick,53.5,White Non-Hispanic,2013,Physical activity
Garrett,43.0,White Non-Hispanic,2013,Physical activity
Harford,47.6,White Non-Hispanic,2013,Physical activity
Howard,53.2,White Non-Hispanic,2013,Physical activity
Kent,47.4,White Non-Hispanic,2013,Physical activity
Montgomery,61.4,White Non-Hispanic,2013,Physical activity
Prince George's,49.3,White Non-Hispanic,2013,Physical activity
Queen Anne's,51.5,White Non-Hispanic,2013,Physical activity
Saint Mary's,49.9,White Non-Hispanic,2013,Physical activity
Somerset,40.2,White Non-Hispanic,2013,Physical activity
Talbot,53.2,White Non-Hispanic,2013,Physical activity
Washington,49.4,White Non-Hispanic,2013,Physical activity
Wicomico,46.9,White Non-Hispanic,2013,Physical activity
Worcester,52.6,White Non-Hispanic,2013,Physical activity
State,51.1,Asian Non-Hispanic,2013,Physical activity
Allegany,,Asian Non-Hispanic,2013,Physical activity
Anne Arundel,,Asian Non-Hispanic,2013,Physical activity
Baltimore City,,Asian Non-Hispanic,2013,Physical activity
Baltimore County,,Asian Non-Hispanic,2013,Physical activity
Calvert,,Asian Non-Hispanic,2013,Physical activity
Caroline,,Asian Non-Hispanic,2013,Physical activity
Carroll,,Asian Non-Hispanic,2013,Physical activity
Cecil,,Asian Non-Hispanic,2013,Physical activity
Charles,,Asian Non-Hispanic,2013,Physical activity
Dorchester,,Asian Non-Hispanic,2013,Physical activity
Frederick,,Asian Non-Hispanic,2013,Physical activity
Garrett,,Asian Non-Hispanic,2013,Physical activity
Harford,,Asian Non-Hispanic,2013,Physical activity
Howard,,Asian Non-Hispanic,2013,Physical activity
Kent,,Asian Non-Hispanic,2013,Physical activity
Montgomery,54.3,Asian Non-Hispanic,2013,Physical activity
Prince George's,,Asian Non-Hispanic,2013,Physical activity
Queen Anne's,,Asian Non-Hispanic,2013,Physical activity
Saint Mary's,,Asian Non-Hispanic,2013,Physical activity
Somerset,,Asian Non-Hispanic,2013,Physical activity
Talbot,,Asian Non-Hispanic,2013,Physical activity
Washington,,Asian Non-Hispanic,2013,Physical activity
Wicomico,,Asian Non-Hispanic,2013,Physical activity
Worcester,,Asian Non-Hispanic,2013,Physical activity
State,51.8,All races/ ethnicities (aggregated),2012,Physical activity
Allegany,49.8,All races/ ethnicities (aggregated),2012,Physical activity
Anne Arundel,54.5,All races/ ethnicities (aggregated),2012,Physical activity
Baltimore City,45.5,All races/ ethnicities (aggregated),2012,Physical activity
Baltimore County,49.3,All races/ ethnicities (aggregated),2012,Physical activity
Calvert,51.0,All races/ ethnicities (aggregated),2012,Physical activity
Caroline,26.8,All races/ ethnicities (aggregated),2012,Physical activity
Carroll,50.2,All races/ ethnicities (aggregated),2012,Physical activity
Cecil,49.7,All races/ ethnicities (aggregated),2012,Physical activity
Charles,54.4,All races/ ethnicities (aggregated),2012,Physical activity
Dorchester,41.9,All races/ ethnicities (aggregated),2012,Physical activity
Frederick,55.9,All races/ ethnicities (aggregated),2012,Physical activity
Garrett,50.7,All races/ ethnicities (aggregated),2012,Physical activity
Harford,53.5,All races/ ethnicities (aggregated),2012,Physical activity
Howard,57.9,All races/ ethnicities (aggregated),2012,Physical activity
Kent,49.3,All races/ ethnicities (aggregated),2012,Physical activity
Montgomery,54.6,All races/ ethnicities (aggregated),2012,Physical activity
Prince George's,53.0,All races/ ethnicities (aggregated),2012,Physical activity
Queen Anne's,42.1,All races/ ethnicities (aggregated),2012,Physical activity
Saint Mary's,52.0,All races/ ethnicities (aggregated),2012,Physical activity
Somerset,37.5,All races/ ethnicities (aggregated),2012,Physical activity
Talbot,55.3,All races/ ethnicities (aggregated),2012,Physical activity
Washington,49.3,All races/ ethnicities (aggregated),2012,Physical activity
Wicomico,50.3,All races/ ethnicities (aggregated),2012,Physical activity
Worcester,55.3,All races/ ethnicities (aggregated),2012,Physical activity
State,49.7,Black Non-Hispanic,2012,Physical activity
Allegany,,Black Non-Hispanic,2012,Physical activity
Anne Arundel,51.6,Black Non-Hispanic,2012,Physical activity
Baltimore City,46.4,Black Non-Hispanic,2012,Physical activity
Baltimore County,49.0,Black Non-Hispanic,2012,Physical activity
Calvert,,Black Non-Hispanic,2012,Physical activity
Caroline,,Black Non-Hispanic,2012,Physical activity
Carroll,,Black Non-Hispanic,2012,Physical activity
Cecil,,Black Non-Hispanic,2012,Physical activity
Charles,64.5,Black Non-Hispanic,2012,Physical activity
Dorchester,41.4,Black Non-Hispanic,2012,Physical activity
Frederick,,Black Non-Hispanic,2012,Physical activity
Garrett,,Black Non-Hispanic,2012,Physical activity
Harford,36.6,Black Non-Hispanic,2012,Physical activity
Howard,61.6,Black Non-Hispanic,2012,Physical activity
Kent,,Black Non-Hispanic,2012,Physical activity
Montgomery,51.2,Black Non-Hispanic,2012,Physical activity
Prince George's,52.2,Black Non-Hispanic,2012,Physical activity
Queen Anne's,,Black Non-Hispanic,2012,Physical activity
Saint Mary's,,Black Non-Hispanic,2012,Physical activity
Somerset,,Black Non-Hispanic,2012,Physical activity
Talbot,,Black Non-Hispanic,2012,Physical activity
Washington,,Black Non-Hispanic,2012,Physical activity
Wicomico,49.0,Black Non-Hispanic,2012,Physical activity
Worcester,,Black Non-Hispanic,2012,Physical activity
State,40.2,Hispanic,2012,Physical activity
Allegany,,Hispanic,2012,Physical activity
Anne Arundel,,Hispanic,2012,Physical activity
Baltimore City,,Hispanic,2012,Physical activity
Baltimore County,,Hispanic,2012,Physical activity
Calvert,,Hispanic,2012,Physical activity
Caroline,,Hispanic,2012,Physical activity
Carroll,,Hispanic,2012,Physical activity
Cecil,,Hispanic,2012,Physical activity
Charles,,Hispanic,2012,Physical activity
Dorchester,,Hispanic,2012,Physical activity
Frederick,,Hispanic,2012,Physical activity
Garrett,,Hispanic,2012,Physical activity
Harford,,Hispanic,2012,Physical activity
Howard,,Hispanic,2012,Physical activity
Kent,,Hispanic,2012,Physical activity
Montgomery,42.1,Hispanic,2012,Physical activity
Prince George's,,Hispanic,2012,Physical activity
Queen Anne's,,Hispanic,2012,Physical activity
Saint Mary's,,Hispanic,2012,Physical activity
Somerset,,Hispanic,2012,Physical activity
Talbot,,Hispanic,2012,Physical activity
Washington,,Hispanic,2012,Physical activity
Wicomico,,Hispanic,2012,Physical activity
Worcester,,Hispanic,2012,Physical activity
State,54.5,White Non-Hispanic,2012,Physical activity
Allegany,46.2,White Non-Hispanic,2012,Physical activity
Anne Arundel,55.3,White Non-Hispanic,2012,Physical activity
Baltimore City,48.9,White Non-Hispanic,2012,Physical activity
Baltimore County,52.5,White Non-Hispanic,2012,Physical activity
Calvert,52.6,White Non-Hispanic,2012,Physical activity
Caroline,29.4,White Non-Hispanic,2012,Physical activity
Carroll,51.7,White Non-Hispanic,2012,Physical activity
Cecil,54.8,White Non-Hispanic,2012,Physical activity
Charles,48.9,White Non-Hispanic,2012,Physical activity
Dorchester,45.0,White Non-Hispanic,2012,Physical activity
Frederick,59.9,White Non-Hispanic,2012,Physical activity
Garrett,50.1,White Non-Hispanic,2012,Physical activity
Harford,57.2,White Non-Hispanic,2012,Physical activity
Howard,57.7,White Non-Hispanic,2012,Physical activity
Kent,47.4,White Non-Hispanic,2012,Physical activity
Montgomery,61.0,White Non-Hispanic,2012,Physical activity
Prince George's,62.0,White Non-Hispanic,2012,Physical activity
Queen Anne's,44.1,White Non-Hispanic,2012,Physical activity
Saint Mary's,52.5,White Non-Hispanic,2012,Physical activity
Somerset,42.5,White Non-Hispanic,2012,Physical activity
Talbot,59.4,White Non-Hispanic,2012,Physical activity
Washington,49.6,White Non-Hispanic,2012,Physical activity
Wicomico,49.8,White Non-Hispanic,2012,Physical activity
Worcester,51.1,White Non-Hispanic,2012,Physical activity
State,52.2,Asian Non-Hispanic,2012,Physical activity
Allegany,,Asian Non-Hispanic,2012,Physical activity
Anne Arundel,,Asian Non-Hispanic,2012,Physical activity
Baltimore City,,Asian Non-Hispanic,2012,Physical activity
Baltimore County,,Asian Non-Hispanic,2012,Physical activity
Calvert,,Asian Non-Hispanic,2012,Physical activity
Caroline,,Asian Non-Hispanic,2012,Physical activity
Carroll,,Asian Non-Hispanic,2012,Physical activity
Cecil,,Asian Non-Hispanic,2012,Physical activity
Charles,,Asian Non-Hispanic,2012,Physical activity
Dorchester,,Asian Non-Hispanic,2012,Physical activity
Frederick,,Asian Non-Hispanic,2012,Physical activity
Garrett,,Asian Non-Hispanic,2012,Physical activity
Harford,,Asian Non-Hispanic,2012,Physical activity
Howard,,Asian Non-Hispanic,2012,Physical activity
Kent,,Asian Non-Hispanic,2012,Physical activity
Montgomery,49.9,Asian Non-Hispanic,2012,Physical activity
Prince George's,,Asian Non-Hispanic,2012,Physical activity
Queen Anne's,,Asian Non-Hispanic,2012,Physical activity
Saint Mary's,,Asian Non-Hispanic,2012,Physical activity
Somerset,,Asian Non-Hispanic,2012,Physical activity
Talbot,,Asian Non-Hispanic,2012,Physical activity
Washington,,Asian Non-Hispanic,2012,Physical activity
Wicomico,,Asian Non-Hispanic,2012,Physical activity
Worcester,,Asian Non-Hispanic,2012,Physical activity
State,48.7,All races/ ethnicities (aggregated),2011,Physical activity
Allegany,52.2,All races/ ethnicities (aggregated),2011,Physical activity
Anne Arundel,47.6,All races/ ethnicities (aggregated),2011,Physical activity
Baltimore City,43.9,All races/ ethnicities (aggregated),2011,Physical activity
Baltimore County,47.7,All races/ ethnicities (aggregated),2011,Physical activity
Calvert,47.1,All races/ ethnicities (aggregated),2011,Physical activity
Caroline,43.4,All races/ ethnicities (aggregated),2011,Physical activity
Carroll,48.0,All races/ ethnicities (aggregated),2011,Physical activity
Cecil,55.2,All races/ ethnicities (aggregated),2011,Physical activity
Charles,47.4,All races/ ethnicities (aggregated),2011,Physical activity
Dorchester,45.1,All races/ ethnicities (aggregated),2011,Physical activity
Frederick,50.5,All races/ ethnicities (aggregated),2011,Physical activity
Garrett,45.4,All races/ ethnicities (aggregated),2011,Physical activity
Harford,43.1,All races/ ethnicities (aggregated),2011,Physical activity
Howard,49.6,All races/ ethnicities (aggregated),2011,Physical activity
Kent,51.7,All races/ ethnicities (aggregated),2011,Physical activity
Montgomery,52.6,All races/ ethnicities (aggregated),2011,Physical activity
Prince George's,50.2,All races/ ethnicities (aggregated),2011,Physical activity
Queen Anne's,46.7,All races/ ethnicities (aggregated),2011,Physical activity
Saint Mary's,55.7,All races/ ethnicities (aggregated),2011,Physical activity
Somerset,33.1,All races/ ethnicities (aggregated),2011,Physical activity
Talbot,57.6,All races/ ethnicities (aggregated),2011,Physical activity
Washington,41.0,All races/ ethnicities (aggregated),2011,Physical activity
Wicomico,50.4,All races/ ethnicities (aggregated),2011,Physical activity
Worcester,52.1,All races/ ethnicities (aggregated),2011,Physical activity
State,44.7,Black Non-Hispanic,2011,Physical activity
Allegany,,Black Non-Hispanic,2011,Physical activity
Anne Arundel,39.5,Black Non-Hispanic,2011,Physical activity
Baltimore City,40.7,Black Non-Hispanic,2011,Physical activity
Baltimore County,39.5,Black Non-Hispanic,2011,Physical activity
Calvert,,Black Non-Hispanic,2011,Physical activity
Caroline,,Black Non-Hispanic,2011,Physical activity
Carroll,,Black Non-Hispanic,2011,Physical activity
Cecil,,Black Non-Hispanic,2011,Physical activity
Charles,42.9,Black Non-Hispanic,2011,Physical activity
Dorchester,,Black Non-Hispanic,2011,Physical activity
Frederick,,Black Non-Hispanic,2011,Physical activity
Garrett,,Black Non-Hispanic,2011,Physical activity
Harford,,Black Non-Hispanic,2011,Physical activity
Howard,,Black Non-Hispanic,2011,Physical activity
Kent,,Black Non-Hispanic,2011,Physical activity
Montgomery,46.5,Black Non-Hispanic,2011,Physical activity
Prince George's,49.9,Black Non-Hispanic,2011,Physical activity
Queen Anne's,,Black Non-Hispanic,2011,Physical activity
Saint Mary's,,Black Non-Hispanic,2011,Physical activity
Somerset,,Black Non-Hispanic,2011,Physical activity
Talbot,,Black Non-Hispanic,2011,Physical activity
Washington,,Black Non-Hispanic,2011,Physical activity
Wicomico,,Black Non-Hispanic,2011,Physical activity
Worcester,,Black Non-Hispanic,2011,Physical activity
State,47.1,Hispanic,2011,Physical activity
Allegany,,Hispanic,2011,Physical activity
Anne Arundel,,Hispanic,2011,Physical activity
Baltimore City,,Hispanic,2011,Physical activity
Baltimore County,,Hispanic,2011,Physical activity
Calvert,,Hispanic,2011,Physical activity
Caroline,,Hispanic,2011,Physical activity
Carroll,,Hispanic,2011,Physical activity
Cecil,,Hispanic,2011,Physical activity
Charles,,Hispanic,2011,Physical activity
Dorchester,,Hispanic,2011,Physical activity
Frederick,,Hispanic,2011,Physical activity
Garrett,,Hispanic,2011,Physical activity
Harford,,Hispanic,2011,Physical activity
Howard,,Hispanic,2011,Physical activity
Kent,,Hispanic,2011,Physical activity
Montgomery,45.5,Hispanic,2011,Physical activity
Prince George's,,Hispanic,2011,Physical activity
Queen Anne's,,Hispanic,2011,Physical activity
Saint Mary's,,Hispanic,2011,Physical activity
Somerset,,Hispanic,2011,Physical activity
Talbot,,Hispanic,2011,Physical activity
Washington,,Hispanic,2011,Physical activity
Wicomico,,Hispanic,2011,Physical activity
Worcester,,Hispanic,2011,Physical activity
State,50.9,White Non-Hispanic,2011,Physical activity
Allegany,54.1,White Non-Hispanic,2011,Physical activity
Anne Arundel,48.4,White Non-Hispanic,2011,Physical activity
Baltimore City,48.7,White Non-Hispanic,2011,Physical activity
Baltimore County,50.1,White Non-Hispanic,2011,Physical activity
Calvert,47.2,White Non-Hispanic,2011,Physical activity
Caroline,50.8,White Non-Hispanic,2011,Physical activity
Carroll,46.5,White Non-Hispanic,2011,Physical activity
Cecil,52.6,White Non-Hispanic,2011,Physical activity
Charles,53.8,White Non-Hispanic,2011,Physical activity
Dorchester,41.4,White Non-Hispanic,2011,Physical activity
Frederick,52.9,White Non-Hispanic,2011,Physical activity
Garrett,45.5,White Non-Hispanic,2011,Physical activity
Harford,43.1,White Non-Hispanic,2011,Physical activity
Howard,48.1,White Non-Hispanic,2011,Physical activity
Kent,54.8,White Non-Hispanic,2011,Physical activity
Montgomery,58.7,White Non-Hispanic,2011,Physical activity
Prince George's,55.9,White Non-Hispanic,2011,Physical activity
Queen Anne's,45.9,White Non-Hispanic,2011,Physical activity
Saint Mary's,54.4,White Non-Hispanic,2011,Physical activity
Somerset,38.9,White Non-Hispanic,2011,Physical activity
Talbot,64.5,White Non-Hispanic,2011,Physical activity
Washington,41.9,White Non-Hispanic,2011,Physical activity
Wicomico,52.3,White Non-Hispanic,2011,Physical activity
Worcester,54.3,White Non-Hispanic,2011,Physical activity
State,41.6,Asian Non-Hispanic,2011,Physical activity
Allegany,,Asian Non-Hispanic,2011,Physical activity
Anne Arundel,,Asian Non-Hispanic,2011,Physical activity
Baltimore City,,Asian Non-Hispanic,2011,Physical activity
Baltimore County,,Asian Non-Hispanic,2011,Physical activity
Calvert,,Asian Non-Hispanic,2011,Physical activity
Caroline,,Asian Non-Hispanic,2011,Physical activity
Carroll,,Asian Non-Hispanic,2011,Physical activity
Cecil,,Asian Non-Hispanic,2011,Physical activity
Charles,,Asian Non-Hispanic,2011,Physical activity
Dorchester,,Asian Non-Hispanic,2011,Physical activity
Frederick,,Asian Non-Hispanic,2011,Physical activity
Garrett,,Asian Non-Hispanic,2011,Physical activity
Harford,,Asian Non-Hispanic,2011,Physical activity
Howard,,Asian Non-Hispanic,2011,Physical activity
Kent,,Asian Non-Hispanic,2011,Physical activity
Montgomery,38.3,Asian Non-Hispanic,2011,Physical activity
Prince George's,,Asian Non-Hispanic,2011,Physical activity
Queen Anne's,,Asian Non-Hispanic,2011,Physical activity
Saint Mary's,,Asian Non-Hispanic,2011,Physical activity
Somerset,,Asian Non-Hispanic,2011,Physical activity
Talbot,,Asian Non-Hispanic,2011,Physical activity
Washington,,Asian Non-Hispanic,2011,Physical activity
Wicomico,,Asian Non-Hispanic,2011,Physical activity
Worcester,,Asian Non-Hispanic,2011,Physical activity
