Jurisdiction,Value,Race/ ethnicity,Year,Measure
Allegany,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Anne Arundel,46.5,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Baltimore County,46.6,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Calvert,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Caroline,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Carroll,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Cecil,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Charles,53.8,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Dorchester,46.6,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Frederick,42.9,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Garrett,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Harford,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Howard,67.0,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Kent,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Montgomery,48.8,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Prince George's,50.6,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Queen Anne's,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Saint Mary's,51.1,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Somerset,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Talbot,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Washington,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Wicomico,37.3,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Worcester,,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
Baltimore City,43.3,Black or African American Non-Hispanic/Latino,2019,Increase Physical Activity
State,36.0,Hispanic,2019,Increase Physical Activity
Allegany,,Hispanic,2019,Increase Physical Activity
Anne Arundel,,Hispanic,2019,Increase Physical Activity
Baltimore County,41.3,Hispanic,2019,Increase Physical Activity
Calvert,,Hispanic,2019,Increase Physical Activity
