Jurisdiction,Number_of_Parks,Amount,County PDR/TDR,Cluster/subdv Remainder,MALPF,MET,Private Cons. Orgs.,Rural Legacy,POS Stateside Conservation Easements,Next Gen. Farmland Acquisition Program (MARBIDCO),ISTEA/ Forest Legacy/  CREP/ FRPP-ACEP,TOTAL Under Easement,LPPRP Local Parks and Recreation (incl. Local-Side POS),DNR State Land Inventory,LPPRP Federal Park and Conservation Lands,TOTAL Publicly Owned,GRAND TOTAL Preserved,Total Households,Population 25 years and older,Less than 9th Grade,High School no Diploma,High School Diploma,Some College no degree,Associates degree,Bachelor's degree,Graduate or Professional,Employment Status of the Population 16 years and over,Civilian Labor Force (16 years & over),Employed,Unemployed,Unemployment Rate,Commute Workers 16 yrs and over,Percent Drove Alone,Percent Carpooled,Percent Public Transportation,Percent Walked,Percent Other,Percent Worked at Home,Median Household Income ($),Families,Percent Families in Poverty,Percent Civilian Population w/ Health Ins. Cov.,Total Housing Units,Percent Occupied,Percent Vacant,Total Population,Voting Age Population,Male,Female,White Alone,Black Alone,Asian Alone,American Indian/Alaska Native Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,Hispanic or Latino (of any race),Year,All races/ ethnicities (aggregated),American Indian/Alaska Native Non-Hispanic/Latino,Asian/Pacific Islander Non-Hispanic/Latino,Black or African American Non-Hispanic/Latino,Hispanic,Native Hawaiian/Other Pacific Islander Hispanic/Latino,White Non-Hispanic/Latino
Frederick,9.0,510311.0,22570.0,0.0,27347.16,8281.86,303.0,7884.68,4079.76,497.06,6380.45,77343.97,13135.0,13106.0,8642.0,34883.0,112226.97,99891.0,186771.0,5864.0,6707.0,43730.0,33238.0,15753.0,45788.0,35691.0,217616.0,150270.0,144673.0,3910.0,4.0,143078.0,71.9,7.7,1.3,1.5,1.3,16.0,115724.0,71714.0,4.6,96.0,104217.0,95.8,4.0,273829.0,10353.0,104217.0,197982.0,20931.0,243757.0,26801.0,190325.0,376.0,13508.0,81.0,18614.0,2019.0,56.2,0.0,0.0,42.9,0.0,0.0,58.5
Garrett,16.0,969024.0,0.0,0.0,7893.26,2680.31,4236.0,1978.04,1225.58,0.0,0.0,18013.19,3039.4,90746.0,3165.0,96950.4,114963.59,12448.0,21440.0,634.0,1400.0,8779.0,3330.0,2018.0,2893.0,2386.0,24411.0,14213.0,13555.0,1214.0,5.0,13283.0,77.9,8.9,1.0,1.4,0.9,10.0,64447.0,8296.0,7.3,94.0,18501.0,67.3,33.0,28856.0,191.0,18501.0,23492.0,199.0,28494.0,364.0,27597.0,13.0,120.0,17.0,374.0,2019.0,56.4,0.0,0.0,0.0,0.0,0.0,55.8
Harford,2.0,116287.0,37341.0,6243.49,17686.43,3434.13,485.7,5090.31,333.06,0.0,422.06,71036.18,5814.6,7979.0,0.0,13793.6,84829.78,98822.0,182063.0,3120.0,7495.0,47619.0,37683.0,15556.0,40140.0,30450.0,210066.0,141205.0,136000.0,4824.0,4.0,134818.0,78.1,7.2,0.8,0.9,1.3,12.0,106417.0,70890.0,4.7,97.0,103552.0,95.4,5.0,261059.0,9018.0,103552.0,199228.0,5635.0,248111.0,36600.0,192241.0,115.0,7464.0,120.0,9366.0,2019.0,58.7,0.0,0.0,0.0,0.0,0.0,58.7
Howard,11.0,505864.0,19005.0,6309.0,4098.46,1372.0,121.0,81.23,0.0,0.0,0.0,30986.69,16668.2,9273.0,0.0,25941.2,56927.89,119230.0,225256.0,5088.0,5666.0,28276.0,29247.0,12789.0,69388.0,74802.0,261898.0,181151.0,174305.0,3721.0,4.0,173546.0,70.5,5.7,2.2,1.0,1.3,19.0,140971.0,87714.0,3.7,96.0,123428.0,96.6,3.0,332011.0,13805.0,123428.0,229438.0,14476.0,307188.0,65349.0,160556.0,325.0,62531.0,188.0,18801.0,2019.0,56.4,0.0,0.0,67.0,0.0,0.0,57.2
Kent,1.0,6625.0,0.0,0.0,25402.69,16627.44,3789.55,2675.77,0.0,303.14,1707.86,50506.45,449.2,5562.0,2283.0,8294.2,58800.65,8375.0,13958.0,334.0,987.0,4502.0,2141.0,780.0,2939.0,2275.0,16670.0,9594.0,9279.0,732.0,3.0,9119.0,71.6,7.2,1.4,8.6,2.2,9.0,71635.0,4989.0,5.1,96.0,10320.0,81.2,19.0,19289.0,422.0,10320.0,15837.0,310.0,18389.0,2715.0,14823.0,4.0,187.0,1.0,846.0,2019.0,52.3,0.0,0.0,0.0,0.0,0.0,60.0
Montgomery,8.0,637296.0,63157.82,0.0,5645.79,2352.0,82.0,5869.18,821.51,34.18,198.0,78160.48,38942.0,12766.0,7669.0,59377.0,137537.48,385284.0,729862.0,36062.0,27754.0,97385.0,90394.0,40143.0,198924.0,239200.0,843577.0,589278.0,560749.0,16370.0,5.0,551214.0,56.9,8.0,9.4,1.7,2.1,22.0,125583.0,266286.0,4.9,93.0,403643.0,95.5,5.0,1056910.0,35915.0,403643.0,685027.0,180066.0,845424.0,191958.0,437619.0,1411.0,160373.0,389.0,162257.0,2019.0,52.8,0.0,53.8,48.8,34.0,0.0,62.3
Prince George's,6.0,395073.0,4413.91,7000.0,1972.05,672.0,2600.0,1767.56,0.0,0.0,164.22,18589.74,30529.0,7070.0,15444.0,53043.0,71632.74,341057.0,656203.0,46553.0,37833.0,164184.0,131401.0,42400.0,131451.0,102381.0,767992.0,536480.0,500565.0,15284.0,7.0,492653.0,62.5,9.9,9.9,1.7,2.8,13.0,97935.0,218838.0,6.2,90.0,359176.0,95.0,5.0,957189.0,26735.0,359176.0,633380.0,152766.0,766216.0,578048.0,110790.0,2033.0,38720.0,278.0,166989.0,2019.0,50.4,0.0,0.0,50.6,35.4,0.0,62.4
Queen Anne's,2.0,179040.0,11069.0,11266.0,36860.74,10179.97,1104.0,7936.16,2142.0,172.89,785.1,81515.86,3125.08,5981.0,0.0,9106.08,90621.94,19351.0,36066.0,583.0,1847.0,10461.0,7193.0,2792.0,8244.0,4946.0,40905.0,27167.0,26180.0,834.0,4.0,25693.0,78.9,6.9,0.8,1.4,0.5,12.0,108332.0,14299.0,3.7,95.0,21405.0,90.4,10.0,50316.0,1213.0,21405.0,38708.0,1727.0,48013.0,2925.0,42341.0,9.0,557.0,0.0,2541.0,2019.0,56.4,0.0,0.0,0.0,0.0,0.0,57.1
Somerset,2.0,5969971.0,0.0,0.0,7265.65,6057.77,200.0,1812.92,8116.48,0.0,2419.43,25872.25,632.0,50823.0,4431.0,55886.0,81758.25,8355.0,16964.0,541.0,2061.0,6585.0,3600.0,1319.0,1965.0,893.0,21073.0,10393.0,9661.0,647.0,7.0,9396.0,73.2,11.6,0.4,3.7,4.4,7.0,52149.0,5316.0,15.6,96.0,10938.0,76.4,24.0,24672.0,929.0,10938.0,20038.0,535.0,23684.0,9595.0,12785.0,38.0,206.0,0.0,505.0,2019.0,41.2,0.0,0.0,0.0,0.0,0.0,41.2
St. Mary's,8.0,295447.0,4664.0,0.0,15303.79,4283.08,133.9,8584.85,77.51,19.46,0.0,33066.59,3300.0,9045.0,0.0,12345.0,45411.59,41211.0,76139.0,2000.0,4231.0,22504.0,15076.0,5742.0,15055.0,11531.0,89977.0,59479.0,57306.0,1530.0,4.0,58080.0,76.9,5.2,1.1,1.9,1.2,14.0,113668.0,29137.0,6.6,96.0,45665.0,90.2,10.0,113814.0,4902.0,45665.0,84108.0,3025.0,107343.0,16247.0,81673.0,62.0,2818.0,0.0,5507.0,2019.0,55.2,0.0,0.0,51.1,0.0,0.0,56.5
Talbot,3.0,1077847.0,580.0,0.0,13922.57,13012.68,1625.3,2298.36,950.0,124.14,62.81,32575.86,767.6,236.0,0.0,1003.6,33579.46,16270.0,28623.0,663.0,1569.0,6838.0,5604.0,2084.0,6565.0,5300.0,31651.0,17615.0,17056.0,1121.0,3.0,16883.0,72.4,7.8,0.7,2.8,2.2,14.0,81667.0,10098.0,6.3,96.0,19606.0,83.0,17.0,37663.0,748.0,19606.0,29400.0,1689.0,34919.0,4563.0,28773.0,40.0,488.0,0.0,2000.0,2019.0,54.2,0.0,0.0,0.0,0.0,0.0,57.5
Washington,5.0,355510.0,2187.0,214.0,16011.73,4402.21,1039.0,9484.65,1199.22,468.56,3656.25,38662.62,1749.3,23093.0,8128.0,32970.3,71632.92,59051.0,108258.0,3359.0,9164.0,39512.0,22661.0,8688.0,14675.0,10199.0,124977.0,74680.0,70953.0,4732.0,5.0,70057.0,76.8,8.9,1.3,1.4,1.7,10.0,73017.0,39768.0,8.6,95.0,63701.0,92.7,7.0,154645.0,6292.0,63701.0,117187.0,5233.0,145015.0,17099.0,117939.0,114.0,2693.0,131.0,5707.0,2019.0,52.3,0.0,0.0,0.0,0.0,0.0,51.8
Wicomico,1.0,50000.0,782.0,1407.0,8370.14,2683.0,4998.0,5179.94,4215.76,128.0,1475.87,29239.71,2120.53,26692.0,725.25,29537.78,58777.49,39939.0,65721.0,2467.0,5060.0,21034.0,12684.0,5451.0,11476.0,7549.0,83687.0,54622.0,50869.0,3325.0,7.0,50503.0,80.8,9.2,0.7,1.6,1.6,6.0,69421.0,25668.0,8.0,94.0,43708.0,91.4,9.0,103815.0,4214.0,43708.0,76542.0,2670.0,97866.0,26794.0,63056.0,92.0,2922.0,28.0,4413.0,2019.0,50.7,0.0,0.0,37.3,0.0,0.0,54.8
Worcester,8.0,364101.0,0.0,0.0,10614.0,6815.97,10475.0,13424.08,8176.59,0.0,3882.62,53388.26,1798.75,44571.0,8200.0,54569.75,107958.01,23457.0,40258.0,639.0,1971.0,12135.0,9510.0,3085.0,8043.0,4875.0,44856.0,26364.0,24644.0,1865.0,7.0,24119.0,78.2,6.8,1.2,2.7,1.4,10.0,76689.0,14959.0,5.1,94.0,56399.0,41.6,58.0,52827.0,1162.0,56399.0,42569.0,833.0,50804.0,6459.0,41717.0,20.0,802.0,0.0,1701.0,2019.0,54.3,0.0,0.0,0.0,0.0,0.0,56.7
