Jurisdiction,Value,Race/ ethnicity,Year,Measure
Caroline,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Carroll,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Cecil,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Charles,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Dorchester,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Frederick,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Garrett,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Harford,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Howard,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Kent,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Montgomery,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Prince George's,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Queen Anne's,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Saint Mary's,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Somerset,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Talbot,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Washington,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Wicomico,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Worcester,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Baltimore City,,American Indian/Alaska Native Non-Hispanic/Latino,2018,Adults who are not overweight or obese
State,56.7,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Allegany,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Anne Arundel,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Baltimore County,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Calvert,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Caroline,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Carroll,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Cecil,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Charles,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Dorchester,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Frederick,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Garrett,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Harford,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Howard,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Kent,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Montgomery,54.9,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Prince George's,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Queen Anne's,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Saint Mary's,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Somerset,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Talbot,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Washington,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Wicomico,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Worcester,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Baltimore City,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Adults who are not overweight or obese
State,27.1,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Allegany,,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Anne Arundel,25.3,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Baltimore County,27.8,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Calvert,,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Caroline,,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Carroll,,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Cecil,,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Charles,25.9,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Dorchester,11.5,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Frederick,33.3,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Garrett,,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Harford,28.9,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Howard,34.0,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Kent,,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Montgomery,31.9,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Prince George's,24.7,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Queen Anne's,,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Saint Mary's,20.3,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Somerset,,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Talbot,,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Washington,,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Wicomico,37.2,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Worcester,,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Baltimore City,26.8,Black or African American Non-Hispanic/Latino,2018,Adults who are not overweight or obese
State,29.7,Hispanic,2018,Adults who are not overweight or obese
Allegany,,Hispanic,2018,Adults who are not overweight or obese
Anne Arundel,,Hispanic,2018,Adults who are not overweight or obese
Baltimore County,27.3,Hispanic,2018,Adults who are not overweight or obese
Calvert,,Hispanic,2018,Adults who are not overweight or obese
Caroline,,Hispanic,2018,Adults who are not overweight or obese
Carroll,,Hispanic,2018,Adults who are not overweight or obese
Cecil,,Hispanic,2018,Adults who are not overweight or obese
Charles,,Hispanic,2018,Adults who are not overweight or obese
Dorchester,,Hispanic,2018,Adults who are not overweight or obese
Frederick,,Hispanic,2018,Adults who are not overweight or obese
Garrett,,Hispanic,2018,Adults who are not overweight or obese
Harford,,Hispanic,2018,Adults who are not overweight or obese
Howard,,Hispanic,2018,Adults who are not overweight or obese
Kent,,Hispanic,2018,Adults who are not overweight or obese
Montgomery,29.4,Hispanic,2018,Adults who are not overweight or obese
Prince George's,30.8,Hispanic,2018,Adults who are not overweight or obese
Queen Anne's,,Hispanic,2018,Adults who are not overweight or obese
Saint Mary's,,Hispanic,2018,Adults who are not overweight or obese
Somerset,,Hispanic,2018,Adults who are not overweight or obese
Talbot,,Hispanic,2018,Adults who are not overweight or obese
Washington,,Hispanic,2018,Adults who are not overweight or obese
Wicomico,,Hispanic,2018,Adults who are not overweight or obese
Worcester,,Hispanic,2018,Adults who are not overweight or obese
Baltimore City,,Hispanic,2018,Adults who are not overweight or obese
State,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Allegany,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Anne Arundel,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Baltimore County,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Calvert,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Caroline,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Carroll,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Cecil,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Charles,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Dorchester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Frederick,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Garrett,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Harford,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Howard,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Kent,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Montgomery,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Prince George's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Queen Anne's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Saint Mary's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Somerset,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Talbot,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Washington,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Wicomico,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Worcester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
Baltimore City,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2018,Adults who are not overweight or obese
State,34.7,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Allegany,22.4,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Anne Arundel,33.3,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Baltimore County,39.6,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Calvert,31.5,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Caroline,27.1,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Carroll,35.3,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Cecil,32.0,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Charles,23.7,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Dorchester,20.8,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Frederick,30.7,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Garrett,34.1,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Harford,28.2,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Howard,40.7,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Kent,19.8,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Montgomery,40.2,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Prince George's,34.3,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Queen Anne's,31.6,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Saint Mary's,25.2,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Somerset,18.2,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Talbot,35.9,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Washington,33.5,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Wicomico,34.3,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Worcester,27.5,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
Baltimore City,39.3,White Non-Hispanic/Latino,2018,Adults who are not overweight or obese
State,33.4,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Allegany,33.9,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Anne Arundel,31.7,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Baltimore County,34.1,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Calvert,28.5,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Caroline,29.5,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Carroll,30.2,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Cecil,27.0,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Charles,28.2,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Dorchester,22.5,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Frederick,35.2,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Garrett,31.5,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Harford,28.1,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Howard,37.4,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Kent,25.3,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Montgomery,43.1,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Prince George's,28.5,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Queen Anne's,29.3,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Saint Mary's,31.4,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Somerset,15.3,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Talbot,29.0,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Washington,30.7,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Wicomico,35.5,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Worcester,41.3,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
Wicomico,,Hispanic,2019,Adults who are not overweight or obese
Baltimore City,30.4,All races/ ethnicities (aggregated),2019,Adults who are not overweight or obese
State,26.3,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Allegany,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Anne Arundel,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Baltimore County,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Calvert,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Caroline,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Carroll,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Cecil,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Charles,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Dorchester,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Frederick,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Garrett,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Harford,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Howard,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Kent,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Montgomery,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Prince George's,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Queen Anne's,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Saint Mary's,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Somerset,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Talbot,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Washington,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Wicomico,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Worcester,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Baltimore City,,American Indian/Alaska Native Non-Hispanic/Latino,2019,Adults who are not overweight or obese
State,55.0,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Allegany,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Anne Arundel,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Baltimore County,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Calvert,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Caroline,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Carroll,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Cecil,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Charles,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Dorchester,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Frederick,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Garrett,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Harford,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Howard,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Kent,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Montgomery,62.9,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Prince George's,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Queen Anne's,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Saint Mary's,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Somerset,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Talbot,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Washington,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Wicomico,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Worcester,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Baltimore City,,Asian/Pacific Islander Non-Hispanic/Latino,2019,Adults who are not overweight or obese
State,25.7,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Allegany,,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Anne Arundel,23.5,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Baltimore County,27.5,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Calvert,,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Caroline,,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Carroll,,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Cecil,,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Charles,27.5,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Dorchester,18.6,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Frederick,21.7,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Garrett,,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Harford,14.6,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Howard,29.4,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Kent,,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Montgomery,31.0,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Prince George's,24.5,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Queen Anne's,,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Saint Mary's,29.5,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Somerset,,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Talbot,,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Washington,,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Wicomico,22.3,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Worcester,,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Baltimore City,25.6,Black or African American Non-Hispanic/Latino,2019,Adults who are not overweight or obese
State,29.5,Hispanic,2019,Adults who are not overweight or obese
Allegany,,Hispanic,2019,Adults who are not overweight or obese
Anne Arundel,,Hispanic,2019,Adults who are not overweight or obese
Baltimore County,32.5,Hispanic,2019,Adults who are not overweight or obese
Calvert,,Hispanic,2019,Adults who are not overweight or obese
Caroline,,Hispanic,2019,Adults who are not overweight or obese
Carroll,,Hispanic,2019,Adults who are not overweight or obese
Cecil,,Hispanic,2019,Adults who are not overweight or obese
Charles,,Hispanic,2019,Adults who are not overweight or obese
Dorchester,,Hispanic,2019,Adults who are not overweight or obese
Frederick,,Hispanic,2019,Adults who are not overweight or obese
Garrett,,Hispanic,2019,Adults who are not overweight or obese
Harford,,Hispanic,2019,Adults who are not overweight or obese
Howard,,Hispanic,2019,Adults who are not overweight or obese
Kent,,Hispanic,2019,Adults who are not overweight or obese
Montgomery,32.3,Hispanic,2019,Adults who are not overweight or obese
Prince George's,30.2,Hispanic,2019,Adults who are not overweight or obese
Queen Anne's,,Hispanic,2019,Adults who are not overweight or obese
Saint Mary's,,Hispanic,2019,Adults who are not overweight or obese
Somerset,,Hispanic,2019,Adults who are not overweight or obese
Talbot,,Hispanic,2019,Adults who are not overweight or obese
Washington,,Hispanic,2019,Adults who are not overweight or obese
Worcester,,Hispanic,2019,Adults who are not overweight or obese
Baltimore City,,Hispanic,2019,Adults who are not overweight or obese
State,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Allegany,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Anne Arundel,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Baltimore County,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Calvert,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Caroline,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Carroll,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Cecil,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Charles,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Dorchester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Frederick,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Garrett,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Harford,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Howard,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Kent,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Montgomery,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Prince George's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Queen Anne's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Saint Mary's,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Somerset,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Talbot,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Washington,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Wicomico,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Worcester,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
Baltimore City,,Native Hawaiian/Other Pacific Islander Hispanic/Latino,2019,Adults who are not overweight or obese
State,35.7,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Allegany,32.9,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Anne Arundel,32.5,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Baltimore County,36.8,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Calvert,30.7,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Caroline,30.1,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Carroll,31.4,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Cecil,28.0,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Charles,30.2,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Dorchester,25.7,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Frederick,35.9,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Garrett,30.7,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Harford,31.6,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Howard,39.1,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Kent,29.1,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Montgomery,45.7,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Prince George's,33.2,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Queen Anne's,28.8,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Saint Mary's,34.5,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Somerset,18.5,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Talbot,29.2,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Washington,31.7,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Wicomico,38.1,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Worcester,42.2,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
Baltimore City,38.1,White Non-Hispanic/Latino,2019,Adults who are not overweight or obese
State,33.5,All races/ ethnicities (aggregated),2020,Adults who are not overweight or obese
Allegany,33.8,All races/ ethnicities (aggregated),2020,Adults who are not overweight or obese
Anne Arundel,33.5,All races/ ethnicities (aggregated),2020,Adults who are not overweight or obese
Baltimore County,31.2,All races/ ethnicities (aggregated),2020,Adults who are not overweight or obese
Calvert,31.1,All races/ ethnicities (aggregated),2020,Adults who are not overweight or obese
Caroline,26.1,All races/ ethnicities (aggregated),2020,Adults who are not overweight or obese
Carroll,40.2,All races/ ethnicities (aggregated),2020,Adults who are not overweight or obese
Cecil,31.3,All races/ ethnicities (aggregated),2020,Adults who are not overweight or obese
Charles,25.6,All races/ ethnicities (aggregated),2020,Adults who are not overweight or obese
Dorchester,19.4,All races/ ethnicities (aggregated),2020,Adults who are not overweight or obese
Frederick,36.3,All races/ ethnicities (aggregated),2020,Adults who are not overweight or obese
Garrett,35.8,All races/ ethnicities (aggregated),2020,Adults who are not overweight or obese
