Jurisdiction,Value,Race/ ethnicity,Year,Measure
Wicomico,26.6,Black Non-Hispanic,2016,Weight
State,33.2,Hispanic,2016,Weight
Montgomery,34.9,Hispanic,2016,Weight
Prince George's,33.2,Hispanic,2016,Weight
State,36.4,White Non-Hispanic,2016,Weight
Allegany,29.4,White Non-Hispanic,2016,Weight
Anne Arundel,30.4,White Non-Hispanic,2016,Weight
Baltimore City,41.3,White Non-Hispanic,2016,Weight
Baltimore County,36.2,White Non-Hispanic,2016,Weight
Calvert,31.9,White Non-Hispanic,2016,Weight
Caroline,28.8,White Non-Hispanic,2016,Weight
Carroll,38.0,White Non-Hispanic,2016,Weight
Cecil,25.1,White Non-Hispanic,2016,Weight
Charles,25.4,White Non-Hispanic,2016,Weight
Dorchester,29.7,White Non-Hispanic,2016,Weight
Frederick,39.0,White Non-Hispanic,2016,Weight
Garrett,27.0,White Non-Hispanic,2016,Weight
Harford,39.7,White Non-Hispanic,2016,Weight
Howard,45.2,White Non-Hispanic,2016,Weight
Kent,39.3,White Non-Hispanic,2016,Weight
Montgomery,43.1,White Non-Hispanic,2016,Weight
Prince George's,37.9,White Non-Hispanic,2016,Weight
Queen Anne's,33.0,White Non-Hispanic,2016,Weight
Saint Mary's,29.1,White Non-Hispanic,2016,Weight
Somerset,28.9,White Non-Hispanic,2016,Weight
Talbot,34.4,White Non-Hispanic,2016,Weight
Washington,31.1,White Non-Hispanic,2016,Weight
Wicomico,35.4,White Non-Hispanic,2016,Weight
Worcester,35.5,White Non-Hispanic,2016,Weight
State,62.3,Asian Non-Hispanic,2016,Weight
Howard,58.7,Asian Non-Hispanic,2016,Weight
Montgomery,67.0,Asian Non-Hispanic,2016,Weight
State,35.0,All races/ ethnicities (aggregated),2015,Weight
Allegany,27.2,All races/ ethnicities (aggregated),2015,Weight
Anne Arundel,36.2,All races/ ethnicities (aggregated),2015,Weight
Baltimore City,30.9,All races/ ethnicities (aggregated),2015,Weight
Baltimore County,31.0,All races/ ethnicities (aggregated),2015,Weight
Calvert,22.8,All races/ ethnicities (aggregated),2015,Weight
Caroline,21.2,All races/ ethnicities (aggregated),2015,Weight
Carroll,31.7,All races/ ethnicities (aggregated),2015,Weight
Cecil,44.4,All races/ ethnicities (aggregated),2015,Weight
Charles,23.1,All races/ ethnicities (aggregated),2015,Weight
Dorchester,25.6,All races/ ethnicities (aggregated),2015,Weight
Frederick,39.1,All races/ ethnicities (aggregated),2015,Weight
Garrett,38.9,All races/ ethnicities (aggregated),2015,Weight
Harford,27.7,All races/ ethnicities (aggregated),2015,Weight
Howard,32.8,All races/ ethnicities (aggregated),2015,Weight
Kent,27.2,All races/ ethnicities (aggregated),2015,Weight
Montgomery,47.1,All races/ ethnicities (aggregated),2015,Weight
Prince George's,34.4,All races/ ethnicities (aggregated),2015,Weight
Queen Anne's,32.9,All races/ ethnicities (aggregated),2015,Weight
Saint Mary's,31.3,All races/ ethnicities (aggregated),2015,Weight
Somerset,31.2,All races/ ethnicities (aggregated),2015,Weight
Talbot,40.8,All races/ ethnicities (aggregated),2015,Weight
Washington,31.6,All races/ ethnicities (aggregated),2015,Weight
Wicomico,34.5,All races/ ethnicities (aggregated),2015,Weight
Worcester,40.4,All races/ ethnicities (aggregated),2015,Weight
State,27.6,Black Non-Hispanic,2015,Weight
Anne Arundel,28.8,Black Non-Hispanic,2015,Weight
Baltimore City,22.0,Black Non-Hispanic,2015,Weight
Baltimore County,24.0,Black Non-Hispanic,2015,Weight
Charles,25.6,Black Non-Hispanic,2015,Weight
Montgomery,43.0,Black Non-Hispanic,2015,Weight
