objectID,ID,slug,name,popularity,type,_geoloc/lat,_geoloc/lng,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,area_id,area_name,country_id,country_name,city_id,city_name,state_id,state_name,verified_map_id,features/0,features/1,features/2,features/3,features/4,features/5,features/6,activities/0,activities/1,activities/2,activities/3,feature_names/0,feature_names/1,feature_names/2,feature_names/3,feature_names/4,feature_names/5,feature_names/6,activity_names/0,activity_names/1,activity_names/2,activity_names/3,overview,num_reviews,units,area_slug,trail_id,city_url,park_slug,profile_photo_url,features/7,activities/4,activities/5,feature_names/7,activity_names/4,activity_names/5,activities/6,activity_names/6,features/8,feature_names/8,activities/7,activity_names/7,activities/8,features/9,feature_names/9,activity_names/8,features/10,feature_names/10,activities/9,activities/10,activity_names/9,activity_names/10,features/11,feature_names/11
trail-10504013,10504013,us/maryland/pen-mar-high-rock-overlook-loop,Pen Mar High Rock Overlook Loop,2.0325,trail,39.6948,-77.52343,8851.37,252.984,3,L,,4,10119646,Pen Mar Park,313,United States,7571,Smithsburg,21,Maryland,26969049,forest,views,,,,,,hiking,nature-trips,walking,,Forest,Views,,,,,,Hiking,Nature Trips,Walking,,,1,i,parks/us/maryland/pen-mar-park,10504013,us/maryland/smithsburg,us/maryland/pen-mar-park,https://cdn-assets.alltrails.com/uploads/photo/image/18810347/large_cd0aee10f1d0070a75359413a9ae0bc2.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10361709,10361709,us/maryland/schrom-hills-loop,Schrom Hills Loop,2.0265,trail,38.98429,-76.87288,804.67,9.7536,1,L,2,4,10127511,Schrom Hills Park,313,United States,3274,Greenbelt,21,Maryland,22243096,ada,forest,kids,paved,strollers,,,trail-running,walking,,,Wheelchair Friendly,Forest,Kid Friendly,Paved,Stroller Friendly,,,Running,Walking,,,,5,i,parks/us/maryland/schrom-hills-park,10361709,us/maryland/greenbelt,us/maryland/schrom-hills-park,https://cdn-assets.alltrails.com/uploads/photo/image/22659241/large_6eac8479f115e8c91c5567bd141434f7.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10319321,10319321,us/maryland/mount-zion-church-to-catoctin-shelters-via-catoctin-trail,Mount Zion Church to Catoctin Shelters via Catoctin Trail,2.0163,trail,39.67219,-77.49856,3379.614,80.772,3,O,,4,10119621,Catoctin Mountain Park,313,United States,7110,Sabillasville,21,Maryland,19500913,forest,views,,,,,,camping,hiking,nature-trips,trail-running,Forest,Views,,,,,,Camping,Hiking,Nature Trips,Running,,1,i,parks/us/maryland/catoctin-mountain-park,10319321,us/maryland/sabillasville,us/maryland/catoctin-mountain-park,https://cdn-assets.alltrails.com/uploads/photo/image/13552093/large_d3079df4e040895801fdc1cf9e74095a.jpg,,walking,,,Walking,,,,,,,,,,,,,,,,,,,
trail-10301584,10301584,us/maryland/north-creek-lake-park,North Creek Lake Trail,2.0106,trail,39.1915,-77.19954,1126.538,2.7432000000000003,1,L,1,4,10162453,North Creek Lake Park,313,United States,5333,Montgomery Village,21,Maryland,18634210,,,,,,,,birding,hiking,nature-trips,walking,,,,,,,,Bird Watching,Hiking,Nature Trips,Walking,,3,i,parks/us/maryland/north-creek-lake-park,10301584,us/maryland/montgomery-village,us/maryland/north-creek-lake-park,https://cdn-assets.alltrails.com/uploads/photo/image/20948625/large_26756fb951bcf08b8cd5ac9be3d0142f.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10338439,10338439,us/virginia/madison-escape-potomac-heritage-and-bootlegger-trail-loop,"Madison Escape, Potomac Heritage and Bootlegger Trail",2.0105,trail,39.01782,-77.2462,12874.72,207.8736,3,L,1,3.5,10127384,Riverbend Park,313,United States,6654,Potomac,21,Maryland,22569327,dogs-leash,forest,river,views,wild-flowers,wildlife,,hiking,trail-running,,,Dogs Leash,Forest,River,Views,Wild Flowers,Wildlife,,Hiking,Running,,,,3,i,parks/us/virginia/riverbend-park,10338439,us/maryland/potomac,us/virginia/riverbend-park,https://cdn-assets.alltrails.com/uploads/photo/image/23401300/large_eb60fd055b8c3bfc6572b86d5b74b669.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10367181,10367181,us/maryland/owl-ridge-and-bennett-ridge,Owl Ridge and Bennett Ridge,2.006,trail,39.27981,-77.31189,3379.614,61.8744,3,L,2,4.5,10119635,Little Bennett Regional Park,313,United States,1588,Clarksburg,21,Maryland,22007093,forest,views,,,,,,birding,nature-trips,walking,,Forest,Views,,,,,,Bird Watching,Nature Trips,Walking,,,3,i,parks/us/maryland/little-bennett-regional-park,10367181,us/maryland/clarksburg,us/maryland/little-bennett-regional-park,,,,,,,,,,,,,,,,,,,,,,,,,
trail-10463709,10463709,us/maryland/strahorn-creek-road-and-little-egypt-loop,"Strahorn, Creek Road, and Little Egypt Loop",2.0035,trail,39.71422,-75.82257,14805.928,215.79840000000002,3,L,1,5,10110448,Fair Hill Natural Resource Management Area,313,United States,2472,Elkton,21,Maryland,27546316,partially-paved,views,wild-flowers,,,,,mountain-biking,horseback-riding,,,Partially Paved,Views,Wild Flowers,,,,,Mountain Biking,Horseback Riding,,,,1,i,parks/us/maryland/fair-hill-natural-resource-management-area,10463709,us/maryland/elkton,us/maryland/fair-hill-natural-resource-management-area,https://cdn-assets.alltrails.com/uploads/photo/image/12627084/large_42ca1593fa418316b455404dc2b73d9e.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10421672,10421672,us/maryland/pine-valley-park-loop,Pine Valley Park Loop,1.9959,trail,39.66647,-76.88111,1931.208,46.9392,1,L,1,4,10127220,Pine Valley Park,313,United States,4849,Manchester,21,Maryland,23718247,,,,,,,,hiking,,,,,,,,,,,Hiking,,,,,6,i,parks/us/maryland/pine-valley-park,10421672,us/maryland/manchester,us/maryland/pine-valley-park,https://cdn-assets.alltrails.com/uploads/photo/image/22829849/large_248058baa512d1a6d098d9dfa0aff172.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10426748,10426748,us/maryland/cody-jean-green-and-yellow-trail-loop,Cody Jean Green and Yellow Trail Loop,1.9849,trail,39.5358,-76.50484,2092.142,50.9016,1,L,1,4,10169326,Gunpowder Falls State Park Sweet Air Area,313,United States,413,Baldwin,21,Maryland,23727076,dogs-leash,forest,kids,wildlife,,,,hiking,nature-trips,trail-running,walking,Dogs Leash,Forest,Kid Friendly,Wildlife,,,,Hiking,Nature Trips,Running,Walking,,5,i,parks/us/maryland/gunpowder-falls-state-park-sweet-air-area,10426748,us/maryland/baldwin,us/maryland/gunpowder-falls-state-park-sweet-air-area,,,,,,,,,,,,,,,,,,,,,,,,,
trail-10351547,10351547,us/maryland/little-bennett-creek,Little Bennett Creek ,1.9555,trail,39.2852,-77.21468,3057.746,46.9392,1,O,1,4,10127080,Oak Ridge Conservation Park,313,United States,2001,Damascus,21,Maryland,21232099,kids,river,wild-flowers,wildlife,,,,birding,hiking,nature-trips,trail-running,Kid Friendly,River,Wild Flowers,Wildlife,,,,Bird Watching,Hiking,Nature Trips,Running,,5,i,parks/us/maryland/oak-ridge-conservation-park,10351547,us/maryland/damascus,us/maryland/oak-ridge-conservation-park,https://cdn-assets.alltrails.com/uploads/photo/image/21225008/large_3604ee8ae6f490449bd85066e7e6ccdb.jpg,,walking,,,Walking,,,,,,,,,,,,,,,,,,,
trail-10367186,10367186,us/maryland/dark-branch-trail,Dark Branch Trail,1.9315,trail,39.2816,-77.2951,1931.208,24.9936,1,L,2,4.5,10119635,Little Bennett Regional Park,313,United States,1588,Clarksburg,21,Maryland,22007134,forest,kids,views,wildlife,,,,birding,hiking,nature-trips,walking,Forest,Kid Friendly,Views,Wildlife,,,,Bird Watching,Hiking,Nature Trips,Walking,,3,i,parks/us/maryland/little-bennett-regional-park,10367186,us/maryland/clarksburg,us/maryland/little-bennett-regional-park,,,,,,,,,,,,,,,,,,,,,,,,,
trail-10367185,10367185,us/maryland/western-piedmont-trail-mount-builder-owl-ridge-loop,"Western Piedmont Trail, Mount Builder, Owl Ridge Loop",1.929,trail,39.27984,-77.31188,7242.03,110.94720000000001,1,L,2,4,10119635,Little Bennett Regional Park,313,United States,1588,Clarksburg,21,Maryland,22007130,forest,views,,,,,,birding,hiking,nature-trips,walking,Forest,Views,,,,,,Bird Watching,Hiking,Nature Trips,Walking,,3,i,parks/us/maryland/little-bennett-regional-park,10367185,us/maryland/clarksburg,us/maryland/little-bennett-regional-park,https://cdn-assets.alltrails.com/uploads/photo/image/23600980/large_9b8ec3e54d96f8e7dbc7daeeca28e186.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10310520,10310520,us/maryland/church-loop-1-and-church-loop-3,Church Loop 1 and Church Loop 3,1.924,trail,39.31555,-76.81454,1931.208,72.8472,1,L,2,3.5,,,313,United States,2479,Ellicott City,21,Maryland,19020234,forest,views,,,,,,birding,hiking,nature-trips,walking,Forest,Views,,,,,,Bird Watching,Hiking,Nature Trips,Walking,,2,i,,10310520,us/maryland/ellicott-city,,https://cdn-assets.alltrails.com/uploads/photo/image/10386664/large_29b4425059e0d3876aebfeccf8aa362e.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10340742,10340742,us/maryland/twin-oaks-park-loop,Twin Oaks Park Loop,1.9207,trail,39.05828,-76.51524,804.67,4.8768,1,L,1,4,10127841,Twin Oaks Park,313,United States,9973,Arnold,21,Maryland,21016782,dogs-leash,forest,kids,wild-flowers,wildlife,,,birding,trail-running,walking,,Dogs Leash,Forest,Kid Friendly,Wild Flowers,Wildlife,,,Bird Watching,Running,Walking,,,3,i,parks/us/maryland/twin-oaks-park,10340742,us/maryland/arnold,us/maryland/twin-oaks-park,https://cdn-assets.alltrails.com/uploads/photo/image/21330621/large_f5192e08ff0cd12ac3ceb2d3e4944d47.jpg,,,,,,,,,,,,,,,,,,,,,,,,
trail-10472262,10472262,us/maryland/carroll-creek-linear-park,Carroll Creek Linear Park,1.9147,trail,39.41481,-77.41485,2896.812,4.8768,1,L,3,4.5,,,313,United States,2881,Frederick,21,Maryland,25205937,city-walk,dogs-leash,kids,pub-crawl,,,,nature-trips,trail-running,walking,,City Walk,Dogs Leash,Kid Friendly,Pub Walk,,,,Nature Trips,Running,Walking,,,4,i,,10472262,us/maryland/frederick,,https://cdn-assets.alltrails.com/uploads/photo/image/21195289/large_29a7cdf4cea257f1d95cdf59fbccb0eb.jpg,,,,,,,,,,,,,,,,,,,,,,,,
