OBJECTID,Global ID,Recreational Trail Number,Sponsor,Project Name,Project Location,Fiscal Year,Award Amount,Project Phase,RTP Manager Internal Notes,District,County,Project Description,Legislative District,Completed Date,Project Type,Managed Use,Primary Project Category,Trail Class,Land/Water Based,Structure Review Required,OMT Clearance Required,MOU Execution Date,MOU Extension Date,NEPA Date,ROW Certification Date,Recent Inspection Date,Public Display,Capture Method,OpenStreetMap ID,OpenStreetMap Rel Type,Public Primary Project Category,FMIS Number,Project Authorized,Authorization Date,x,y
58,aa1da0df-de03-4a31-a4b9-055335adf665,RT1820,Mid-Atlantic Off Road Enthusiasts,Patuxent Trail System Phase 1,,2018,133826,Closeout,,District 3,Montgomery,,14,11/23/2022 5:00:00 AM,Non-motorized,Hike/Bike/Horse,New Trail with Structure,3,Land,Yes,No,8/20/2018 4:00:00 AM,6/30/2022 4:00:00 AM,9/4/2019 4:00:00 AM,9/20/2019 4:00:00 AM,12/15/2021 5:00:00 AM,Yes,,,,New Trail,,,,1271324.08521483,593023.0222786
59,51f9e8ad-f976-425b-997b-00445c545aa7,RT2107,Mid-Atlantic Off Road Enthusiasts,Patuxent Trail System Phase 2,,2021,106000,Closeout,,District 3,Montgomery,"The proposed Phase 2 would add approx 2.5 miles of new trail to Patuxent River State Park (PRSP), and increase the quantity and quality of available parking.",14,,Non-motorized,Hike/Bike/Horse,New Trail with Structure,3,Land,Yes,Yes,1/27/2021 5:00:00 AM,,,,,Yes,,,,New Trail,,,,1271324.08521483,593023.022278594
60,5dff6c0e-d46b-439f-87e1-239d551157a2,RT2012,DNR - MPS - Patapsco Valley State Park,Patapsco Trail Labor 2020,,2020,60480,Closeout,,District 7,Howard,"This project will support contractual staff for maintenance and operation of the 200+ miles of trails in the Howard, Carroll, and Baltimore County zones of Patapsco Valley State Park.",9A,6/15/2023 4:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,3,Land,,,11/27/2019 5:00:00 AM,,8/20/2020 4:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,1371528.08064848,593419.185221381
61,895b7621-29c6-4bc1-8477-cbf7988925b8,RT1912,DNR - MPS - Patapsco Valley State Park,Patapsco Trail Labor 2019,,2019,50000,Closeout,,District 7,Howard,,9A,3/11/2022 5:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,3,Land,No,No,12/19/2018 5:00:00 AM,3/31/2022 4:00:00 AM,9/10/2019 4:00:00 AM,,2/7/2022 5:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1371528.08159776,593419.184838302
62,16496aca-0e28-4b27-9f94-9f9bc2fcf78b,RT1730,DNR - MPS - Patapsco Valley State Park,Patapsco Trail Labor 2017,,2017,77920,Closeout,,District 7,Howard,,9A,6/30/2020 4:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,3,Land,No,No,4/10/2017 4:00:00 AM,,2/17/2017 5:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,1371528.08064848,593419.185221381
63,b789d050-79e2-49a3-ba72-3656caa3faf6,RT1634,DNR - MPS - Patapsco Valley State Park,Patapsco Trail Labor 2016,,2016,29760,Closeout,,District 7,Howard,,9A,10/31/2019 4:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,3,Land,No,No,2/16/2016 5:00:00 AM,,3/4/2016 5:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,1371528.08159776,593419.184838302
64,3073fbb5-9058-4bda-b1b3-73fd079f44db,RT1817,DNR - MPS - Wolf Den Run State Park,Wolf Den Run Trail Labor 2018,,2018,92787,Closeout,,District 6,Garrett,,1A,3/25/2022 4:00:00 AM,Motorized,OHV/Motorbike/Truck,Maintenance,4,Land,No,No,10/1/2018 4:00:00 AM,3/31/2022 4:00:00 AM,10/1/2018 4:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,688314.306786268,630053.976104167
65,87bf0283-e747-4407-a271-a860363df2b5,RT1614,Southern Maryland Mountian Bikers,St Marys State Park Beginner Loop,,2016,55240,Construction,,District 5,St. Mary's,,29C,,Non-motorized,Hike/Bike/Horse,New Trail with Structure,3,Land,No,No,5/5/2016 4:00:00 AM,,10/1/2019 4:00:00 AM,1/21/2020 5:00:00 AM,2/18/2022 5:00:00 AM,Yes,,,,New Trail,,,,1444238.56224834,213362.020741199
66,9a3a42cd-b71a-4b19-a0c9-40f8f65dfebb,RT2022,Friends of Patapsco Valley State Park,Patapsco State Park Kiosks and Signage,,2020,62500,Closeout,,District 7,Howard,,9A,12/22/2021 5:00:00 AM,Non-motorized,Hike/Bike/Horse,Kiosks and/or Signage,3,Land,No,No,5/1/2020 4:00:00 AM,,4/1/2020 4:00:00 AM,5/11/2020 4:00:00 AM,,Yes,,,,Trail Amenities and Signage,,,,1371346.14530538,593653.219025906
67,ed9ece65-713b-486a-a316-94aec7274262,RT2011,DNR - MPS - Patapsco Valley State Park,Woodstock Trail Construction,,2020,47600,Closeout,,District 4,Baltimore,This project will reroute the Thru Trail in the Woodstock Area down into the valley and away from private property.  The trail will be sustainably built and include a trail bridge reconstruction.,10,8/10/2023 4:00:00 AM,Non-motorized,Hike/Bike/Horse,New Trail with Structure,3,Land,Yes,No,11/27/2019 5:00:00 AM,,7/21/2020 4:00:00 AM,,7/7/2023 4:00:00 AM,Yes,GPS,,,New Trail,,,,1357282.77109001,603082.588271541
