OBJECTID,Global ID,Recreational Trail Number,Sponsor,Project Name,Project Location,Fiscal Year,Award Amount,Project Phase,RTP Manager Internal Notes,District,County,Project Description,Legislative District,Completed Date,Project Type,Managed Use,Primary Project Category,Trail Class,Land/Water Based,Structure Review Required,OMT Clearance Required,MOU Execution Date,MOU Extension Date,NEPA Date,ROW Certification Date,Recent Inspection Date,Public Display,Capture Method,OpenStreetMap ID,OpenStreetMap Rel Type,Public Primary Project Category,FMIS Number,Project Authorized,Authorization Date,x,y
98,dfd096ee-86aa-4a32-a3f9-764823b2dbe1,RT2015,DNR - MPS - Rocky Gap State Park,Rocky Gap Trail Crew 2020,,2020,39180,Closeout,,District 6,Allegany,This project will provide the park with the continued labor budget it needs to employ a trail crew to complete routine maintenance on 18 miles of multi-use doubletrack and singletrack trails.,1B,11/28/2022 5:00:00 AM,Non-motorized,Hike/Bike,Maintenance,3,Land,,,11/27/2019 5:00:00 AM,,8/28/2020 4:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,847048.534983425,746850.893937621
99,16b4b9af-babb-4d66-b4db-862de60f86ab,RT1909,DNR - MPS - Rocky Gap State Park,Rocky Gap Trail Crew 2019,,2019,39180,Closeout,,District 6,Allegany,,1B,3/25/2022 4:00:00 AM,Non-motorized,Hike/Bike,Maintenance,3,Land,,,12/19/2018 5:00:00 AM,3/31/2022 4:00:00 AM,4/25/2019 4:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,850101.011073467,752046.065314043
100,850213c9-1355-451a-adb2-875c44fb7100,RT1738,DNR - MPS - Rocky Gap State Park,Trail Equipment,Rocky Gap State Park,2017,30000,Closeout,,District 6,Allegany,Purchase of a brush chipper for trail maintenance.,1B,3/3/2022 5:00:00 AM,Non-motorized,Hike/Bike,Equipment Lease,3,Land,No,No,4/10/2017 4:00:00 AM,,3/10/2021 5:00:00 AM,,10/15/2021 4:00:00 AM,Yes,,,,Other,,,,850101.011073467,752046.065314043
101,faa36ef1-dcb3-44f7-a5ac-6a939e13805b,RT2008,DNR - MPS - Fair Hill NRMA,Fair Hill Carriage Trail Resurfacing,,2020,30000,Closeout,,District 2,Cecil,"This project will restore and resurface 10,200 linear feet of doubletrack carriage trails with six inches of recycled crush concrete.",35A,6/12/2023 4:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,4,Land,No,No,11/27/2019 5:00:00 AM,,8/28/2020 4:00:00 AM,,3/23/2021 4:00:00 AM,Yes,,,,Maintenance and Restoration,,Yes,,1642789.22380903,737782.949675618
102,51dfc3f9-3e84-417f-ab4a-08e92f00e12c,RT1915,DNR - MPS - Fair Hill NRMA,Fair Hill Carriage Trail Resurfacing,,2019,30000,Closeout,,District 2,Cecil,Resurface carriage trails in William Skinner district,35A,6/20/2023 4:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,4,Land,No,No,12/19/2018 5:00:00 AM,12/31/2022 5:00:00 AM,6/6/2019 4:00:00 AM,,8/18/2021 4:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1643841.67545345,747973.304477799
103,6afaf439-6dcb-4b9d-94d4-4d8199b2dde8,RT1910,DNR - MPS - Patapsco Valley State Park,Patapsco Four Segment Trail Construction,,2019,48160,Closeout,,District 7,Howard,,9A,12/13/2021 5:00:00 AM,Non-motorized,Hike/Bike/Horse,New Trail,3,Land,No,No,12/19/2018 5:00:00 AM,,3/22/2019 4:00:00 AM,,,Yes,,,,New Trail,,,,1365839.05308427,599073.505122041
104,7c8c41a2-0f65-4f62-a7da-28a5f411a5c1,RT1906,DNR - MFS - Southern Region State Forest,Southern Region SF Trail Maintenance 2019,,2019,34317,Closeout,,District 5,St. Mary's,,29C,8/31/2021 4:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,3,Land,No,No,11/21/2018 5:00:00 AM,,6/11/2019 4:00:00 AM,,8/30/2021 4:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1435468.23883556,210386.597510742
105,5e344a43-8933-4ae4-bf26-2112a18689b4,RT1808,DNR - MFS - Green Ridge State Forest,Green Ridge SF Trail Maintenance 2018,,2018,29999,Closeout,,District 6,Allegany,,1C,12/1/2020 5:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,2,Land,No,No,5/29/2018 4:00:00 AM,,7/23/2018 4:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,906074.507190317,731054.06990971
106,85200029-10f8-4c3c-b53d-228a332ce302,RT1725,DNR - MFS - Pocomoke State Forest,Mattaponi Trails and Campsites,,2017,30000,Closeout,,District 1,Worcester,,38A,6/23/2022 4:00:00 AM,Non-motorized,Hike/Bike/Horse,New Trail,3,Land,No,No,4/10/2017 4:00:00 AM,,2/21/2017 5:00:00 AM,,9/8/2021 4:00:00 AM,Yes,,,,New Trail,,,,1753237.39101136,169920.908588211
107,0616647c-d8b4-44b9-92d1-253067925320,RT1728,DNR - MFS - Green Ridge State Forest,Green Ridge SF Trail Maintenance 2017,,2017,30000,Closeout,,District 6,Allegany,,1C,8/24/2020 4:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,2,Land,No,No,4/10/2017 4:00:00 AM,,2/21/2017 5:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,906074.507190317,731054.06990971
108,27527844-996b-405b-99d7-244a052c5358,RT1731,DNR - MFS - Southern Region State Forest,Southern Region SF Trail Maintenance 2017,,2017,30000,Closeout,,District 5,St. Mary's,,29C,12/11/2018 5:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,3,Land,No,No,4/10/2017 4:00:00 AM,,2/17/2017 5:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,1435468.23883556,210386.597510742
109,419e8fcb-4597-458c-afdc-c1b8e4d1fa8a,RT1627,DNR - MFS - Southern Region State Forest,Southern Region SF Trail Maintenance 2016,,2016,26300,Closeout,,District 5,St. Mary's,,29C,3/5/2018 5:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,3,Land,No,No,2/16/2016 5:00:00 AM,,5/10/2016 4:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,1435468.23883556,210386.597510742
110,6a1ecdc1-bbe6-47c2-aac0-9fb3dfe33c4a,RT1621,DNR - MFS - Green Ridge State Forest,Green Ridge SF Trail Maintenance 2016,,2016,30000,Closeout,,District 6,Allegany,,1C,5/11/2018 4:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,2,Land,No,No,2/16/2016 5:00:00 AM,,3/18/2016 4:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,906074.507190317,731054.06990971
111,b324cb2f-110d-4518-95e6-39f594b115e7,RT1917,DNR - MPS - Tuckahoe State Park,New Little Florida Trail,,2019,120000,Design / NEPA,,District 2,Queen Anne's,,36,,Non-motorized,Hike/Bike/Horse,New Trail with Structure,3,Land,Yes,No,12/19/2018 5:00:00 AM,12/31/2023 5:00:00 AM,10/5/2020 4:00:00 AM,,,Yes,,,,New Trail,,,,1608818.23406564,467119.541099956
112,41471cd0-9570-4e3a-93af-54ce79b4afc7,RT1916,DNR - MPS - Rosaryville State Park,Perimeter Trail Rehabilitation,,2019,40000,Closeout,,District 3,Prince George's,,23B,5/31/2024 4:00:00 AM,Non-motorized,Hike/Bike,New Trail,3,Land,No,No,12/19/2018 5:00:00 AM,12/31/2023 5:00:00 AM,9/30/2019 4:00:00 AM,,5/2/2024 4:00:00 AM,Yes,,,,New Trail,,,,1367821.80000887,406433.59251215
113,d65db1af-89ea-4602-9e56-19cc4a48e2f2,RT1905,DNR - MFS - Potomac-Garrett State Forest,Snaggy Mountain ORV Trail Stabilization,,2019,92472,Closeout,,District 6,Garrett,,1A,8/31/2021 4:00:00 AM,Motorized,OHV/Motorbike/Truck,Maintenance,4,Land,No,No,11/21/2018 5:00:00 AM,,6/11/2019 4:00:00 AM,,8/9/2021 4:00:00 AM,Yes,,,,Maintenance and Restoration,,,,619807.281971918,676248.683425079
114,d923b1d2-6f26-40b2-a672-21dd8c29e20d,RT1918,DNR - MPS - Rosaryville State Park,Charles Branch Bridge Replacement,,2019,43500,Design / NEPA,,District 3,Prince George's,,23B,,Non-motorized,Hike/Bike/Horse,Maintenance,3,Land,Yes,Yes,12/19/2018 5:00:00 AM,6/30/2023 4:00:00 AM,,,,Yes,,,,Maintenance and Restoration,,,,1367867.53482451,402199.541346363
115,c166af3d-2753-447c-b82b-6d8621ad046f,RT1804,DNR - MFS - Pocomoke State Forest,Algonquin Trail Restoration,,2018,30000,Closeout,,District 1,Worcester,,38A,11/9/2022 5:00:00 AM,Diverse,Hike/Bike/Horse,Maintenance,4,Land,No,No,5/29/2018 4:00:00 AM,6/30/2022 4:00:00 AM,8/27/2019 4:00:00 AM,,11/3/2022 4:00:00 AM,Yes,,,,Maintenance and Restoration,,,,1745559.25127356,214935.476130608
116,0462b31f-11f3-4277-9151-eb861a0d5820,RT1805,DNR - MFS - Pocomoke State Forest,North Algonquin Trail Extension,,2018,20014,Closeout,,District 1,Worcester,,38A,5/5/2023 4:00:00 AM,Non-motorized,Hike/Bike/Horse,New Trail,3,Land,No,No,5/29/2018 4:00:00 AM,6/30/2022 4:00:00 AM,8/31/2018 4:00:00 AM,,5/5/2023 4:00:00 AM,Yes,GPS,,,New Trail,,,,1740260.2426836,220834.889074307
117,76d73c70-6260-47c2-a85f-428e301c0e2b,RT1806,DNR - MFS - Southern Region State Forest,Doncaster SF Trail and Parking Restoration,,2018,26986,Closeout,,District 5,Charles,,28,12/10/2019 5:00:00 AM,Diverse,Hike/Bike/Horse,Maintenance,3,Land,No,No,5/29/2018 4:00:00 AM,,7/17/2018 4:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,1257145.27278471,303798.045023775
118,513ba085-d4b1-4d8d-a540-3895a4c8e7cc,RT1810,DNR - MFS - Potomac-Garrett State Forest,Wallman ORV Trail Stabilization,,2018,33340,Closeout,,District 6,Garrett,,1A,12/12/2019 5:00:00 AM,Motorized,OHV/Motorbike/Truck,Maintenance,4,Land,No,No,5/29/2018 4:00:00 AM,,7/26/2018 4:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,663056.340056257,617909.021364634
119,2fd7180f-6fb6-49e2-a60d-cfe00bedcc2e,RT1809,DNR - MFS - Potomac-Garrett State Forest,Wallman Snowmobile Trail Stabilization,,2018,31788,Closeout,,District 6,Garrett,,1A,12/10/2019 5:00:00 AM,Motorized,Snowmobile,Maintenance,3,Land,No,No,5/29/2018 4:00:00 AM,,7/26/2018 4:00:00 AM,,,Yes,,,,Maintenance and Restoration,,,,663056.340056257,617909.021364634
126,df0ee9c0-94ef-4ee8-a3e5-fe74f311e0ad,RT1529,DNR - MPS - Palmer State Park,Palmer State Park Trail System,,2015,35175,Closeout,,District 4,Harford,,35B,1/31/2020 5:00:00 AM,Non-motorized,Hike/Bike/Horse,New Trail,3,Land,,,,,,,,Yes,,,,New Trail,,,,1515735.28131979,712834.80705778
127,9696d7db-6746-4e1b-9d56-443c87fc8d64,RT1633,DNR - MFS - Pocomoke State Forest,Furnace Loop Trail System,,2016,28121,Closeout,,District 1,Worcester,,38A,12/11/2018 5:00:00 AM,Non-motorized,Hike/Bike/Horse,New Trail,3,Land,,,,,,,,Yes,,,,New Trail,,,,1751847.25620248,198673.653589439
128,e4b344dd-0f30-4adc-bb05-1fcda5560316,RT1619,DNR - MPS - Gunpowder State Park,Gunpowder Falls Stacked Loop,,2016,26426,Closeout,,District 4,Baltimore,,7,3/9/2021 5:00:00 AM,Non-motorized,Hike/Bike,New Trail with Structure,3,Land,,,,,,,,Yes,,,,New Trail,,,,1475371.6459425,660405.723853517
129,46b4a268-8cdd-41f4-93b4-71c628f2da07,RT1741,DNR - MFS - Savage River State Forest,Big Savage River Hiking Trail Restoration,,2017,40000,Closeout,,District 6,Garrett,Maintenance and Restoration of the 17-mile Big Savage River Hiking Trail,01A,1/23/2023 5:00:00 AM,Non-motorized,Hike/Bike/Horse,Maintenance,3,Land,No,No,4/10/2017 4:00:00 AM,12/13/2022 5:00:00 AM,3/22/2017 4:00:00 AM,,11/16/2022 5:00:00 AM,Yes,Imagery,,,Maintenance and Restoration,,Yes,,713559.338388826,675521.068767988
130,ee20df12-0523-423c-946a-f115ed69751d,RT2301,Adkins Arboretum,Nestled in Nature,Adkins Arboretum,2023,46048,NEPA,,District 2,Caroline,Construction of a viewing area and maintenance of five miles of trails and trail amenities at Adkins Arboretum in Caroline County.,37B,,Non-motorized,Hike only,New Trail with Structure,0,Land,Yes,,11/30/2022 5:00:00 AM,,,,,Yes,GPS,,,Trail Amenities and Signage,,,,1615276.73813427,471354.542185186
131,2b735d51-1de3-437f-bb4e-0371887acc2b,RT1743,DNR - MFS - Chesapeake Forest Lands,Seth Demonstration Forest Trail Enhancements,,2017,18000,Closeout,,District 2,Talbot,"Enhance the existing Seth Demonstration Forest Trail by updating the trail head signs, installing trail side markers with QRL codes and clearing encroaching brush.",37B,2/21/2023 5:00:00 AM,Non-motorized,Hike/Bike,Maintenance,3,Land,,,4/10/2017 4:00:00 AM,12/31/2022 5:00:00 AM,3/10/2017 5:00:00 AM,,11/29/2022 5:00:00 AM,Yes,GPS,,,Maintenance and Restoration,,,,1587988.27548561,395352.435477979
132,24c090b2-ee0e-45d1-92fb-16817c8f09ef,RT2316,DNR - MFS - Green Ridge State Forest,Western Region State Forest Trail Maintenance,,2023,140000,Closeout,,District 6,Allegany,Perform general trail maintenance on 94 miles of non-motorized trails across the western region State Forests in Allegany and Garrett Counties.,01C,1/4/2024 5:00:00 AM,Diverse,Hike/Bike/Snowshoe/X-Country Ski,Maintenance,2,Land,No,No,12/16/2022 5:00:00 AM,,,,10/12/2023 4:00:00 AM,Yes,GPS,,,Maintenance and Restoration,AZ325B51,Yes,4/14/2023 4:00:00 AM,891086.597781802,730677.70162961
133,c4c75924-599a-4116-9e7b-087f6c87aef1,RT2313,Kent County,ADA Accessibility to Betterton Beach,,2023,6625,Closeout,,District 2,Kent,"Purchase and installation of a 5 foot wide,150 foot long Mobi-Mat to provide ADA access to the Betterton Beach Waterfront in Kent County.",36,11/6/2023 5:00:00 AM,Non-motorized,Hike only,Amenities,4,Land,No,No,1/25/2023 5:00:00 AM,,,,,Yes,GPS,,,Trail Amenities and Signage,KE114B11,Yes,,1576966.94686427,622052.972990723
134,3d28a6b3-424d-44f8-9448-4f9b31a68599,RT2304,Audubon Naturalist Society,Interpretive Signage and Orientation Center,,2023,26264,Closeout,,District 3,Montgomery,Fabrication and installation of bilingual interpretive signage and orientation centers at trailheads of Nature for All trail at Woodend Sanctuary in Montgomery County.,18,4/24/2024 4:00:00 AM,Non-motorized,Hike only,Kiosks and/or Signage,5,Land,No,,,,,,3/15/2024 4:00:00 AM,Yes,,,,Trail Amenities and Signage,AZ321B51,Yes,,1292870.76368327,486791.959612676
135,86e5d1dc-59dd-4038-bc6a-2c7d6c87312b,RT2310,Historic St. Mary's City,Assessment of Trails,,2023,80000,Procurement,,District 5,St. Mary's,Assess 3.5 miles of highly utilized trails and trail infrastructure in St. Mary’s County to inform engineering and design for trail improvements and to bring trails into compliance with US Forest Service trail accessibility guidelines.,29B,,Non-motorized,Hike only,Assessment,3,Land,,,,,,,,Yes,,,,Other,AZ322B11,Yes,,1473524.8948136,184162.849570962
136,30d140df-988b-49f3-b586-e00694e8a0d3,RT2317,DNR - MPS - Rocky Gap State Park,Bear Ridge Trail,Rocky Gap SP,2023,277800,Procurement,,District 6,Allegany,"Construction of a new non-motorized, multi-use 4.5-mile trail from the Touch of Nature trailhead at Rocky Gap State Park. This trail will be constructed to allow for use of adaptive bicycles.",01C,,Non-motorized,Hike/Bike,New Trail with Structure,4,Land,Yes,Yes,3/22/2023 4:00:00 AM,,2/17/2023 5:00:00 AM,4/5/2023 4:00:00 AM,,Yes,GPS,,,New Trail,AL559B51,Yes,5/18/2023 4:00:00 AM,844038.033638164,743418.549087164
137,e229047d-2545-41ef-9a21-b8819a601416,RT2308,Friends of Patapsco Valley State Park,Adaptive Trails at Patapsco Valley State Park,McKeldin Area,2023,62500,Procurement,,District 7,Carroll,"The funds will be used to construct trails, and make trail improvements to make the trail system in the McKeldin Area appropriate for use of adaptive bicycles.",05,,Non-motorized,Hike/Bike,New Trail,4,Land,No,No,12/16/2022 5:00:00 AM,,2/15/2023 5:00:00 AM,3/7/2023 5:00:00 AM,,Yes,GPS,,,New Trail,AZ267B51,Yes,,1343255.97804311,616187.178451551
138,e77b9511-89a7-4889-9f41-30a632e1f39b,RT2302,Allegany County Department of Public Works,Borden Tunnel Lining Restoration,,2023,3623796,,,District 6,Allegany,Resurfacing and repairing the exterior end walls and interior surface of the 955-foot-long Borden Tunnel on the Great Allegheny Passage Rail Trail using pneumatically applied mortar.,1B,,Non-motorized,Hike/Bike/Horse,Maintenance,4,Land,,,,,,,,Yes,,,,Maintenance and Restoration,,,,772055.25946406,741763.743962497
139,5c8de730-cb96-4dbe-826d-d1ec5cc60da6,RT2312,Maryland Department of Transportation Port Administration,Swan Creek Nature Trail,,2023,95825,Construction,,District 5,Anne Arundel,Constructing 630 feet of new trail as part of the Swan Creek Community Trail,31B,,Non-motorized,Hike only,New Trail,3,Land,,,,,,,,Yes,,,,New Trail,,,,1443421.59815614,557410.443453098
140,33cc5cec-16a5-4a0a-b826-f9286b4425bb,RT2315,DNR - EC,Torrey C. Brown Trail Bridge Restoration,,2023,2000000,Maintenance,,District 4,Baltimore,"Rehabilitating critical structures, including bridges 4, 8, 18,19, and 20 of the 37 bridges on the Torrey C Brown Trail.",42B,,Non-motorized,Hike/Bike/Horse,Maintenance,4,Land,,,,,,,,Yes,,,,Maintenance and Restoration,,,,1417787.64130239,671024.014864106
142,3744d76a-f531-4fb4-8755-134aecd06b27,RT2309,"H & F Trolley Trail Association, Inc.",H&F Trolley Trail Extension - South Phase 2,,2023,109472,Procurement / Construction,,District 7,Frederick,Acquiring permanent easements and constructing new stone dust trail from Thurmont to Blue Mountain Road,04,,Non-motorized,Hike/Bike/Horse,New Trail,1,Land,,,,,,,,Yes,,,,New Trail,,,,1196279.3044835,707315.8090394
143,f17fa53c-9728-4449-bf87-d1028fc74492,RT2306,City of Frederick,Hill Street Park Revitalization,,2023,150000,Construction,,District 7,Frederick,"Constructing a 100-by-100-foot paved surface pump track with several lanes of various widths, landscaping, and park amenities",3A,,Non-motorized,,Amenities,0,Land,,,,,,,,Yes,,,,Other,,,,1185499.12536893,636152.343868478
144,5309d85b-fde2-4e6e-81cb-6105480689b9,RT2303,Anacostia Trails Heritage Area,Dueling Creek Trail Extension,,2023,165000,Construction,,District 3,Prince George's,Constructing 0.6 miles of new trail along Dueling Creek from Bladensburg Road to the Anacostia River Trail at Bladensburg Waterfront Park,47A,,Non-motorized,Hike/Bike,New Trail,1,Land,,,,,,,,Yes,,,,New Trail,,,,1326036.01729387,461246.723930276
145,df262636-28d5-4911-b9d7-f78824d02025,RT2315,DNR - EC,Somers Cove Marina Reconstruction,,2023,5950000,Maintenance,,District 1,Somerset,"Replacing the boat ramp, pier B, and pier E as well ADA accessibility improvements to multiple piers and slips at Somers Cove Marina",38A,,Diverse,,Maintenance,0,Water,,,,,,,,Yes,,,,Maintenance and Restoration,,Yes,,1640989.59345287,114498.988737344
146,1cbe94ff-5224-4d18-82b2-3ef8602c93c3,RT2318,DNR - MPS - Pocomoke River State Park,Milburn Landing Water Access Improvements,,2023,43888,Construction,,District 1,Worcester,Replacing an 80foot-by-20-foot floating dock and 4-foot-by-20-foot gangway with a new floating dock and accessible soft launch at Pocomoke River State Park - Milburn Landing. Funds will also be used to improve the pathway from the parking area to the improved water access and existing park features.,38A,,Non-motorized,,Maintenance,0,Water,,,,,,,,Yes,,,,Maintenance and Restoration,,Yes,,1746865.38768412,170339.97188525
147,551e96cc-601b-4973-b41f-4a7890f4407a,RT2412,DNR - MFS - Western Region State Forest,Western Region Multi-year Maintenance Program,,2024,420000,Maintenance,,District 6,Allegany,"To deploy a three-year trail maintenance program on non-motorized trails in the Western Region State Forests (Green Ridge, Savage River, Potomac Garrett). This program would involve partnering with the Appalachian Conservation Corps",1C,,Diverse,,Maintenance,0,Land,,,,,,,,Yes,,,,Maintenance and Restoration,,Yes,,900801.652040003,744254.668834102
148,4e18f0aa-f0df-4bb4-bcc1-d354ef27e4d9,RT2402,Irvine Nature Center,"Trail Maintenance, Safety, and Accessibility",,2024,70000,Maintenance,,District 4,Baltimore,"To hire a four-person trail crew for 12 weeks. The crew will construct a new 1/2 mile trail, perform maintenance on existing trails, and install new signage",11A,,Non-motorized,Hike only,Maintenance,0,Land,,,,,,,,Yes,,,,Maintenance and Restoration,,Yes,,1379465.85503695,643454.242200093
149,53606502-e9b0-40e4-9d30-2d05cbd2dbad,RT2404,NeighborSpace of Baltimore County,Bear Creek Heritage Trail,,2024,275880,Construction,,District 4,Baltimore,"To construct the third phase of the Bear Creek Heritage Trail in Dundalk, a 650-foot-long, 8-foot-wide asphalt surface trail",6,,Non-motorized,Hike/Bike,New Trail,1,Land,,,,,,,,Yes,,,,New Trail,,Yes,,1457996.69917054,586672.818073207
150,78a5692c-680a-432e-ae0e-c3b1f7965aad,RT2409,Friends of Patapsco Valley State Park,Woodstock/Old Court Trail System,,2024,243000,Construction,,District 4,Baltimore,"To construct 5 miles of natural surface adaptive mountain bike trail system at Patapsco Valley State Park, to also include 5 kiosks, 2 bridges, and on-trail wayfinding signage",10,,Non-motorized,Hike/Bike/Horse,New Trail with Structure,3,Land,,,,,,,,Yes,,,,New Trail,,Yes,,1347205.9588096,615102.286193908
151,fe842edd-4f3a-47c0-a4de-374c32fc14a7,RT2413,DNR - MPS - Patapsco Valley State Park,Trail Maintenance Crew 2024,,2024,57600,Maintenance,,District 4,Baltimore,"To hire a trail crew to perform routine, preventative, and proactive maintenance at Patapsco Valley State Park",09A,,Non-motorized,Hike/Bike/Horse,Maintenance,,Land,,,,,,,,Yes,,,,Maintenance and Restoration,,Yes,,1346951.10703783,610365.287766473
152,2d4cb672-8892-4c76-b030-56bbc6953904,RT2406,City of Westminster,Wakefield Valley Park Trail Development - Phase I,,2024,2000000,Construction,,District 7,Carroll,"To rebuild, reroute, or significantly improve over 5 miles of 10-foot wide, paved trail surface at Wakefield Valley Park",05,,Non-motorized,Hike/Bike,Maintenance,1,Land,,,,,,,,Yes,,,,Maintenance and Restoration,,Yes,,1303017.53688055,693627.467134393
153,b50a8017-4c2f-4e17-95c4-d3aab90775de,RT2401,"Charles County Recreation, Parks & Tourism",Pope's Creek Rail Trail Public Pedestrian Path,,2024,1779280,Construction,,District 5,Charles,To construct Phase I of the Pope's Creek Trail,28,,Non-motorized,Hike only,New Trail with Structure,1,Land,,,,,,,,Yes,,,,New Trail,,Yes,,1320413.91080717,277850.604187368
154,faf28974-547b-4ab4-b6eb-6c91fe5dc5f4,RT2405,Garrett County Planning & Land Management,Bloomington Community Park,,2024,25000,Construction,,District 6,Garrett,To pave the existing gravel path to make the trail more ADA-accessible,1A,,Non-motorized,Hike/Bike,Maintenance,1,Land,,,,,,,,Yes,,,,Maintenance and Restoration,,Yes,,727208.429327126,665306.902468708
155,d19438dc-6d61-4ac4-bee6-125a4ede7ff9,RT2407,Town of Oakland,Broadford Park Trail System,,2024,40000,Construction,,District 6,Garrett,To construct a new 700-foot rock-armored trail to provide the upper end in skill progression with a rocky and technical single-track for this progressive trail system,1A,,Non-motorized,Hike/Bike,New Trail,5,Land,,,,,,,,Yes,,,,New Trail,,Yes,,641239.160706003,643388.492127744
156,304094bc-163a-4648-a8fd-d07fcb2dffed,RT2408,Mid-Atlantic Off Road Enthusiasts,Northwest Branch Boardwalk Project,,2024,45000,Construction,,District 3,Montgomery,To install boardwalk through the areas that continually too wet to maintain a useable trail in the northernmost section of the 12-mile-long Northwest Branch Trail,14,,Non-motorized,Hike/Bike/Horse,Maintenance,2,Land,,,,,,,,Yes,,,,Maintenance and Restoration,,Yes,,1304375.52848422,519916.019945338
157,6f7cfd8d-991e-4124-9512-a9a7be69cb89,RT2403,City of College Park,Rhode Island Avenue Trolley Trail,,2024,48351,Construction,,District 3,Prince George's,"To perform intersection improvements, including ADA curb ramp retrofits and crosswalk improvements, patching, and signage and striping upgrades on the Rhode Island Avenue Trolley Trail",21,,Diverse,,Maintenance,1,Land,,,,,,,,Yes,,,,Maintenance and Restoration,,Yes,,1333465.61112411,484882.272491645
